Date,Date,Open,High,Low,Close,Adj Close,Volume,weekly_bias,week_high_low_day
2006-06-05,2006-06-05,1287.75,1288.5,1235.25,1251.0,1251.0,5418365,-1.0,Monday
2006-06-12,2006-06-12,1251.0,1259.75,1218.75,1252.0899658203125,1252.0899658203125,2269180,1.0,Wednesday
2006-06-19,2006-06-19,1261.0,1268.5,1247.25,1255.5,1255.5,5239223,-1.0,Wednesday
2006-06-26,2006-06-26,1255.75,1287.25,1246.5,1279.5,1279.5,4567262,1.0,Wednesday
2006-07-03,2006-07-03,1281.75,1290.0,1271.0,1275.0,1275.0,3517787,-1.0,Friday
2006-07-10,2006-07-10,1274.5,1283.75,1235.0,1242.25,1242.25,6016903,-1.0,Wednesday
2006-07-17,2006-07-17,1243.0,1269.0,1231.0,1244.75,1244.75,6780410,1.0,Tuesday
2006-07-24,2006-07-24,1244.5,1286.0,1243.5,1284.25,1284.25,5436726,1.0,Monday
2006-07-31,2006-07-31,1283.75,1297.75,1270.25,1286.0,1286.0,4434964,1.0,Tuesday
2006-08-07,2006-08-07,1285.75,1288.25,1262.5,1272.25,1272.25,4509285,-1.0,Wednesday
2006-08-14,2006-08-14,1274.25,1307.75,1270.75,1307.0,1307.0,4475941,1.0,Monday
2006-08-21,2006-08-21,1306.5,1306.75,1291.5,1297.5,1297.5,3388984,-1.0,Monday
2006-08-28,2006-08-28,1297.75,1314.0,1294.5,1312.5,1312.5,3401296,1.0,Monday
2006-09-04,2006-09-04,1311.75,1316.75,1293.0,1299.25,1299.25,3354737,-1.0,Monday
2006-09-11,2006-09-11,1300.0,1327.0,1291.5,1323.1199951171875,1323.1199951171875,2010831,1.0,Monday
2006-09-18,2006-09-18,1331.5,1340.0,1321.0,1326.0,1326.0,5087335,-1.0,Thursday
2006-09-25,2006-09-25,1325.75,1350.5,1321.5,1345.5,1345.5,4884118,1.0,Monday
2006-10-02,2006-10-02,1345.75,1363.25,1336.0,1358.75,1358.75,4959108,1.0,Tuesday
2006-10-09,2006-10-09,1357.75,1374.75,1351.0,1373.5,1373.5,4558614,1.0,Wednesday
2006-10-16,2006-10-16,1373.25,1380.25,1364.0,1375.0,1375.0,5258427,1.0,Tuesday
2006-10-23,2006-10-23,1374.75,1398.0,1370.0,1384.75,1384.75,5392920,1.0,Monday
2006-10-30,2006-10-30,1384.25,1387.5,1365.5,1368.5,1368.5,5861909,-1.0,Wednesday
2006-11-06,2006-11-06,1369.0,1393.75,1367.25,1384.75,1384.75,5592873,1.0,Monday
2006-11-13,2006-11-13,1385.0,1408.0,1382.5,1404.75,1404.75,5574719,1.0,Monday
2006-11-20,2006-11-20,1405.0,1411.25,1399.0,1403.0,1403.0,3447222,-1.0,Wednesday
2006-11-27,2006-11-27,1402.75,1408.75,1378.5,1400.5,1400.5,7656635,-1.0,Thursday
2006-12-04,2006-12-04,1399.25,1420.0,1397.75,1410.0,1410.0,4124488,1.0,Monday
2006-12-11,2006-12-11,1409.75,1432.75,1405.0,1428.739990234375,1428.739990234375,1929685,1.0,Tuesday
2006-12-18,2006-12-18,1438.25,1444.0,1419.75,1420.25,1420.25,3402093,-1.0,Monday
2006-12-25,2006-12-25,1421.0,1438.75,1420.5,1428.5,1428.5,1139196,1.0,Tuesday
2007-01-01,2007-01-01,1433.0,1440.0,1414.25,1416.5,1416.5,3311297,-1.0,Wednesday
2007-01-08,2007-01-08,1417.25,1441.5,1412.25,1440.75,1440.75,5556074,1.0,Wednesday
2007-01-15,2007-01-15,1441.0,1444.5,1431.0,1436.75,1436.75,3776697,-1.0,Tuesday
2007-01-22,2007-01-22,1437.25,1447.25,1422.0,1427.5,1427.5,5806441,-1.0,Thursday
2007-01-29,2007-01-29,1428.0,1454.75,1423.25,1453.0,1453.0,5058818,1.0,Monday
2007-02-05,2007-02-05,1452.5,1457.75,1437.0,1443.0,1443.0,4724448,-1.0,Wednesday
2007-02-12,2007-02-12,1442.75,1461.75,1435.0,1459.0,1459.0,4407324,1.0,Monday
2007-02-19,2007-02-19,1458.5,1464.75,1450.5,1453.75,1453.75,4784219,-1.0,Thursday
2007-02-26,2007-02-26,1454.0,1459.75,1380.75,1385.75,1385.75,11954954,-1.0,Monday
2007-03-05,2007-03-05,1387.0,1413.75,1368.75,1405.0,1405.0,6913473,1.0,Tuesday
2007-03-12,2007-03-12,1404.75,1410.5,1363.75,1396.1199951171875,1396.1199951171875,3054213,-1.0,Monday
2007-03-19,2007-03-19,1397.75,1451.0,1394.75,1447.0,1447.0,5673031,1.0,Monday
2007-03-26,2007-03-26,1446.25,1449.25,1418.0,1431.25,1431.25,6240781,-1.0,Monday
2007-04-02,2007-04-02,1431.75,1459.0,1425.75,1452.75,1452.75,3232973,1.0,Monday
2007-04-09,2007-04-09,1457.25,1461.75,1442.25,1461.25,1461.25,4589344,1.0,Thursday
2007-04-16,2007-04-16,1461.5,1493.5,1461.0,1493.0,1493.0,6145651,1.0,Monday
2007-04-23,2007-04-23,1492.75,1505.0,1480.25,1502.0,1502.0,5223876,1.0,Tuesday
2007-04-30,2007-04-30,1501.0,1517.0,1482.25,1514.25,1514.25,5510388,1.0,Tuesday
